Entity,Code,Year,Wind generation - TWh,Wind energy capacity,Continent
"""Abkhazia""",OWID_ABK,2015,,,Asia
"""Afghanistan""",AFG,2012,,0.0001,
"""Afghanistan""",AFG,2013,,0.0001,
"""Afghanistan""",AFG,2014,,0.0001,
"""Afghanistan""",AFG,2015,,0.0001,Asia
"""Afghanistan""",AFG,2016,,0.0001,
"""Afghanistan""",AFG,2017,,0.0004,
"""Afghanistan""",AFG,2018,,0.0004,
"""Afghanistan""",AFG,2019,,0.0004,
"""Afghanistan""",AFG,2020,,0.0004,
"""Afghanistan""",AFG,2021,,0.0004,
"""Afghanistan""",AFG,2022,,0.0004,
"""Africa""",,1965,0.0,,
"""Africa""",,1966,0.0,,
"""Africa""",,1967,0.0,,
"""Africa""",,1968,0.0,,
"""Africa""",,1969,0.0,,
"""Africa""",,1970,0.0,,
"""Africa""",,1971,0.0,,
"""Africa""",,1972,0.0,,
"""Africa""",,1973,0.0,,
"""Africa""",,1974,0.0,,
"""Africa""",,1975,0.0,,
"""Africa""",,1976,0.0,,
"""Africa""",,1977,0.0,,
"""Africa""",,1978,0.0,,
"""Africa""",,1979,0.0,,
"""Africa""",,1980,0.0,,
"""Africa""",,1981,0.0,,
"""Africa""",,1982,0.0,,
"""Africa""",,1983,0.0,,
"""Africa""",,1984,0.0,,
"""Africa""",,1985,0.0,,
"""Africa""",,1986,0.0,,
"""Africa""",,1987,0.0,,
"""Africa""",,1988,0.0,,
"""Africa""",,1989,0.0,,
"""Africa""",,1990,0.0,,
"""Africa""",,1991,0.0,,
"""Africa""",,1992,0.0,,
"""Africa""",,1993,2.0,,
"""Africa""",,1994,5.4,,
"""Africa""",,1995,6.3,,
"""Africa""",,1996,7.1000000000000005,,
"""Africa""",,1997,7.2,,
"""Africa""",,1998,7.6,,
"""Africa""",,1999,19.8,,
"""Africa""",,2000,175.5,0.13905,
"""Africa""",,2001,415.58,0.13905,
"""Africa""",,2002,443.58402,0.14431,
"""Africa""",,2003,535.599,0.15379001,
"""Africa""",,2004,768.2805000000001,0.23611,
"""Africa""",,2005,780.3820999999999,0.24018,
"""Africa""",,2006,852.5656,0.327905,
"""Africa""",,2007,1016.2233,0.4701,
"""Africa""",,2008,1311.7782,0.5553,
"""Africa""",,2009,1589.2309,0.7424,
"""Africa""",,2010,2284.5824,0.864777,
"""Africa""",,2011,2386.504,0.994982,
"""Africa""",,2012,2515.6302,1.127594,
"""Africa""",,2013,3593.4472,1.741834,
"""Africa""",,2014,5060.073,2.399398,
"""Africa""",,2015,8910.6865,3.320268,
"""Africa""",,2016,11176.371,3.831394,
"""Africa""",,2017,13612.4935,4.578262700000001,
"""Africa""",,2018,14762.938999999998,5.4715527,
"""Africa""",,2019,19281.773,5.528753,
"""Africa""",,2020,19105.722,6.5146533,
"""Africa""",,2021,22780.289,7.3701533,
"""Africa""",,2022,23893.784,7.6846533,
"""Africa (EI)""",,1965,0.0,,
"""Africa (EI)""",,1966,0.0,,
"""Africa (EI)""",,1967,0.0,,
"""Africa (EI)""",,1968,0.0,,
"""Africa (EI)""",,1969,0.0,,
"""Africa (EI)""",,1970,0.0,,
"""Africa (EI)""",,1971,0.0,,
"""Africa (EI)""",,1972,0.0,,
"""Africa (EI)""",,1973,0.0,,
"""Africa (EI)""",,1974,0.0,,
"""Africa (EI)""",,1975,0.0,,
"""Africa (EI)""",,1976,0.0,,
"""Africa (EI)""",,1977,0.0,,
"""Africa (EI)""",,1978,0.0,,
"""Africa (EI)""",,1979,0.0,,
"""Africa (EI)""",,1980,0.0,,
"""Africa (EI)""",,1981,0.0,,
"""Africa (EI)""",,1982,0.0,,
"""Africa (EI)""",,1983,0.0,,
"""Africa (EI)""",,1984,0.0,,
"""Africa (EI)""",,1985,0.0,,
"""Africa (EI)""",,1986,0.0,,
"""Africa (EI)""",,1987,0.0,,
"""Africa (EI)""",,1988,0.0,,
"""Africa (EI)""",,1989,0.0,,
"""Africa (EI)""",,1990,0.0,,
"""Africa (EI)""",,1991,0.0,,
"""Africa (EI)""",,1992,0.0,,
"""Africa (EI)""",,1993,2.0,,
"""Africa (EI)""",,1994,5.4,,
"""Africa (EI)""",,1995,6.3,,
"""Africa (EI)""",,1996,7.1000000000000005,,
"""Africa (EI)""",,1997,7.2,,
"""Africa (EI)""",,1998,7.6,,
"""Africa (EI)""",,1999,19.8,,
"""Africa (EI)""",,2000,175.5,,
"""Africa (EI)""",,2001,415.58,,
"""Africa (EI)""",,2002,443.584,,
"""Africa (EI)""",,2003,535.599,,
"""Africa (EI)""",,2004,768.2805000000001,,
"""Africa (EI)""",,2005,780.3820999999999,,
"""Africa (EI)""",,2006,852.5656,,
"""Africa (EI)""",,2007,1016.2233,,
"""Africa (EI)""",,2008,1311.7782,,
"""Africa (EI)""",,2009,1589.2309,,
"""Africa (EI)""",,2010,2284.5824,,
"""Africa (EI)""",,2011,2386.504,,
"""Africa (EI)""",,2012,2515.6302,,
"""Africa (EI)""",,2013,3593.4472,,
"""Africa (EI)""",,2014,5060.073,,
"""Africa (EI)""",,2015,8910.6865,,
"""Africa (EI)""",,2016,11176.371,,
"""Africa (EI)""",,2017,13612.4935,,
"""Africa (EI)""",,2018,14762.938999999998,,
"""Africa (EI)""",,2019,19281.773,,
"""Africa (EI)""",,2020,19105.722,,
"""Africa (EI)""",,2021,22780.289,,
"""Africa (EI)""",,2022,23893.784,,
"""Africa (IRENA)""",,2000,,0.13905,
"""Africa (IRENA)""",,2001,,0.13905,
"""Africa (IRENA)""",,2002,,0.14431,
"""Africa (IRENA)""",,2003,,0.1537899999999999,
"""Africa (IRENA)""",,2004,,0.23611,
"""Africa (IRENA)""",,2005,,0.24018,
"""Africa (IRENA)""",,2006,,0.327905,
"""Africa (IRENA)""",,2007,,0.4701,
"""Africa (IRENA)""",,2008,,0.5553,
"""Africa (IRENA)""",,2009,,0.7424,
"""Africa (IRENA)""",,2010,,0.864777,
"""Africa (IRENA)""",,2011,,0.994982,
"""Africa (IRENA)""",,2012,,1.127594,
"""Africa (IRENA)""",,2013,,1.741834,
"""Africa (IRENA)""",,2014,,2.399398,
"""Africa (IRENA)""",,2015,,3.320268,
"""Africa (IRENA)""",,2016,,3.831394,
"""Africa (IRENA)""",,2017,,4.578263,
"""Africa (IRENA)""",,2018,,5.471553,
"""Africa (IRENA)""",,2019,,5.528753,
"""Africa (IRENA)""",,2020,,6.514653,
"""Africa (IRENA)""",,2021,,7.370153,
"""Africa (IRENA)""",,2022,,7.684653000000001,
"""Akrotiri and Dhekelia""",OWID_AKD,2015,,,Asia
"""Aland Islands""",ALA,2015,,,Europe
"""Albania""",ALB,2015,,,Europe
"""Algeria""",DZA,1990,0.0,,
"""Algeria""",DZA,1991,0.0,,
"""Algeria""",DZA,1992,0.0,,
"""Algeria""",DZA,1993,0.0,,
"""Algeria""",DZA,1994,0.0,,
"""Algeria""",DZA,1995,0.0,,
"""Algeria""",DZA,1996,0.0,,
"""Algeria""",DZA,1997,0.0,,
"""Algeria""",DZA,1998,0.0,,
"""Algeria""",DZA,1999,0.0,,
"""Algeria""",DZA,2000,0.0,,
"""Algeria""",DZA,2001,0.0,,
"""Algeria""",DZA,2002,0.0,,
"""Algeria""",DZA,2003,0.0,,
"""Algeria""",DZA,2004,0.0,,
"""Algeria""",DZA,2005,0.0,,
"""Algeria""",DZA,2006,0.0,,
"""Algeria""",DZA,2007,0.0,,
"""Algeria""",DZA,2008,0.0,,
"""Algeria""",DZA,2009,0.0,,
"""Algeria""",DZA,2010,0.0,,
"""Algeria""",DZA,2011,0.0,,
"""Algeria""",DZA,2012,0.0,,
"""Algeria""",DZA,2013,0.0,,
"""Algeria""",DZA,2014,1.0,0.0101999999999999,
"""Algeria""",DZA,2015,19.0,0.0101999999999999,Africa
"""Algeria""",DZA,2016,19.052055,0.0101999999999999,
"""Algeria""",DZA,2017,19.0,0.0101999999999999,
"""Algeria""",DZA,2018,10.0,0.01,
"""Algeria""",DZA,2019,10.0,0.01,
"""Algeria""",DZA,2020,7.7,0.01,
"""Algeria""",DZA,2021,10.5,0.01,
"""Algeria""",DZA,2022,10.5,0.01,
"""American Samoa""",ASM,2015,,,Oceania
"""Andorra""",AND,2015,,,Europe
"""Angola""",AGO,2015,,,Africa
"""Anguilla""",AIA,2015,,,North America
"""Antarctica""",ATA,2015,,,Antarctica
"""Antigua and Barbuda""",ATG,2020,,0.004,
"""Antigua and Barbuda""",ATG,2021,,0.004,
"""Antigua and Barbuda""",ATG,2022,,0.004,
"""Antigua and Barbuda""",ATG,2015,,,North America
"""Argentina""",ARG,1990,0.0,,
"""Argentina""",ARG,1991,0.0,,
"""Argentina""",ARG,1992,0.0,,
"""Argentina""",ARG,1993,0.0,,
"""Argentina""",ARG,1994,0.0,,
"""Argentina""",ARG,1995,0.0,,
"""Argentina""",ARG,1996,9.618,,
"""Argentina""",ARG,1997,14.592,,
"""Argentina""",ARG,1998,32.541000000000004,,
"""Argentina""",ARG,1999,34.781,,
"""Argentina""",ARG,2000,34.758,0.014112,
"""Argentina""",ARG,2001,49.361,0.024829,
"""Argentina""",ARG,2002,73.405,0.0257979999999999,
"""Argentina""",ARG,2003,77.954,0.025729,
"""Argentina""",ARG,2004,72.446,0.027829,
"""Argentina""",ARG,2005,71.71966,0.027829,
"""Argentina""",ARG,2006,69.64,0.027829,
"""Argentina""",ARG,2007,61.593,0.027829,
"""Argentina""",ARG,2008,41.951080000000005,0.027829,
"""Argentina""",ARG,2009,36.831528000000006,0.027829,
"""Argentina""",ARG,2010,25.351606,0.027829,
"""Argentina""",ARG,2011,26.59055,0.059579,
"""Argentina""",ARG,2012,369.862,0.136979,
"""Argentina""",ARG,2013,453.35487,0.189979,
